data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37;
param:  cost :=
  x0  868433
  x1  429634
  x2  914657
  x3  428240
  x4  476141
  x5  34037
  x6  236236
  x7  125325
  x8  991293
  x9  913802
  x10  871815
  x11  263627
  x12  640470
  x13  538337
  x14  717911
  x15  952950
  x16  932564
  x17  409035
  x18  442557
  x19  264695
  x20  977463
  x21  543901
  x22  326145
  x23  253091
  x24  17557
  x25  517717
  x26  563587
  x27  193676
  x28  134718
  x29  199372
  x30  860504
  x31  682983
  x32  724344
  x33  715410
  x34  672725
  x35  546094
  x36  749555
  x37  978544;
param cap := 9500000;
