data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33;
param:  cost :=
  x0  182
  x1  595
  x2  8
  x3  531
  x4  11
  x5  611
  x6  240
  x7  6
  x8  14
  x9  450
  x10  139
  x11  179
  x12  792
  x13  407
  x14  517
  x15  685
  x16  811
  x17  581
  x18  768
  x19  234
  x20  678
  x21  995
  x22  839
  x23  864
  x24  121
  x25  780
  x26  424
  x27  937
  x28  430
  x29  903
  x30  363
  x31  828
  x32  880
  x33  865;
param cap := 8500;
