data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33;
param:  cost :=
  x0  365926
  x1  365372
  x2  50542
  x3  12356
  x4  810540
  x5  944152
  x6  778926
  x7  871292
  x8  788411
  x9  15130
  x10  568083
  x11  723366
  x12  683261
  x13  655030
  x14  308572
  x15  88817
  x16  759080
  x17  597136
  x18  255017
  x19  188810
  x20  323925
  x21  290480
  x22  306945
  x23  242946
  x24  901865
  x25  975670
  x26  251310
  x27  68039
  x28  154332
  x29  288519
  x30  622436
  x31  240741
  x32  403135
  x33  183510;
param cap := 8500000;
