data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43 x44 x45 x46 x47 x48 x49;
param:  cost :=
  x0  327
  x1  322
  x2  181
  x3  496
  x4  718
  x5  985
  x6  834
  x7  75
  x8  975
  x9  576
  x10  966
  x11  699
  x12  369
  x13  871
  x14  688
  x15  746
  x16  257
  x17  202
  x18  314
  x19  312
  x20  927
  x21  6
  x22  228
  x23  990
  x24  722
  x25  208
  x26  878
  x27  929
  x28  597
  x29  2
  x30  418
  x31  960
  x32  839
  x33  883
  x34  238
  x35  878
  x36  857
  x37  286
  x38  782
  x39  921
  x40  663
  x41  909
  x42  360
  x43  903
  x44  823
  x45  649
  x46  232
  x47  359
  x48  10
  x49  763;
param cap := 12501;
