data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31;
param:  cost :=
  x0  699380
  x1  781848
  x2  153734
  x3  984653
  x4  10134
  x5  140172
  x6  295638
  x7  10141
  x8  359424
  x9  52870
  x10  977716
  x11  608067
  x12  963505
  x13  893947
  x14  598019
  x15  84260
  x16  36
  x17  442454
  x18  761796
  x19  479409
  x20  769847
  x21  818161
  x22  241883
  x23  556278
  x24  830985
  x25  522105
  x26  48431
  x27  936449
  x28  119613
  x29  354
  x30  214906
  x31  896333;
param cap := 8000000;
