data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31;
param:  cost :=
  x0  575
  x1  57
  x2  441
  x3  60
  x4  125
  x5  365
  x6  288
  x7  348
  x8  832
  x9  428
  x10  858
  x11  648
  x12  911
  x13  250
  x14  933
  x15  701
  x16  870
  x17  81
  x18  288
  x19  288
  x20  466
  x21  451
  x22  698
  x23  787
  x24  463
  x25  604
  x26  999
  x27  481
  x28  325
  x29  582
  x30  710
  x31  318;
param cap := 8001;
