data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35;
param:  cost :=
  x0  947
  x1  715
  x2  933
  x3  6
  x4  785
  x5  757
  x6  5
  x7  473
  x8  596
  x9  226
  x10  28
  x11  820
  x12  808
  x13  500
  x14  38
  x15  886
  x16  794
  x17  527
  x18  47
  x19  8
  x20  73
  x21  396
  x22  160
  x23  780
  x24  526
  x25  420
  x26  817
  x27  359
  x28  927
  x29  999
  x30  513
  x31  827
  x32  793
  x33  993
  x34  403
  x35  119;
param cap := 9001;
