data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41;
param:  cost :=
  x0  374676
  x1  350978
  x2  266484
  x3  484008
  x4  950155
  x5  782668
  x6  369833
  x7  945651
  x8  533807
  x9  298119
  x10  867217
  x11  49300
  x12  344081
  x13  281073
  x14  1843
  x15  480021
  x16  806936
  x17  577579
  x18  676500
  x19  184349
  x20  490839
  x21  605516
  x22  153558
  x23  732660
  x24  187979
  x25  368955
  x26  36992
  x27  564474
  x28  318317
  x29  360978
  x30  39066
  x31  135226
  x32  438109
  x33  485066
  x34  845923
  x35  343391
  x36  725091
  x37  984269
  x38  891715
  x39  549046
  x40  882977
  x41  213787;
param cap := 10500000;
