data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31;
param:  cost :=
  x0  856
  x1  942
  x2  528
  x3  978
  x4  281
  x5  176
  x6  894
  x7  337
  x8  327
  x9  171
  x10  346
  x11  801
  x12  982
  x13  745
  x14  381
  x15  559
  x16  289
  x17  705
  x18  643
  x19  680
  x20  238
  x21  116
  x22  480
  x23  984
  x24  190
  x25  468
  x26  149
  x27  825
  x28  351
  x29  914
  x30  145
  x31  450;
param cap := 8000;
