data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37;
param:  cost :=
  x0  794
  x1  315
  x2  500
  x3  78
  x4  407
  x5  400
  x6  758
  x7  758
  x8  157
  x9  997
  x10  816
  x11  559
  x12  494
  x13  903
  x14  453
  x15  940
  x16  120
  x17  46
  x18  20
  x19  631
  x20  645
  x21  775
  x22  666
  x23  439
  x24  689
  x25  98
  x26  238
  x27  752
  x28  438
  x29  997
  x30  514
  x31  471
  x32  620
  x33  967
  x34  863
  x35  206
  x36  815
  x37  388;
param cap := 9500;
