data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43;
param:  cost :=
  x0  816
  x1  997
  x2  135
  x3  247
  x4  197
  x5  909
  x6  895
  x7  704
  x8  129
  x9  441
  x10  407
  x11  795
  x12  544
  x13  193
  x14  635
  x15  448
  x16  547
  x17  395
  x18  795
  x19  74
  x20  966
  x21  646
  x22  25
  x23  658
  x24  19
  x25  968
  x26  926
  x27  920
  x28  341
  x29  835
  x30  204
  x31  859
  x32  604
  x33  241
  x34  695
  x35  183
  x36  223
  x37  29
  x38  618
  x39  468
  x40  697
  x41  142
  x42  753
  x43  91;
param cap := 11001;
