data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43;
param:  cost :=
  x0  179204
  x1  205780
  x2  161864
  x3  742467
  x4  13523
  x5  184846
  x6  771831
  x7  946602
  x8  58523
  x9  42635
  x10  143310
  x11  944561
  x12  184206
  x13  614541
  x14  663248
  x15  346058
  x16  398027
  x17  686427
  x18  768983
  x19  647140
  x20  628076
  x21  360198
  x22  54535
  x23  39729
  x24  331443
  x25  326451
  x26  57515
  x27  745501
  x28  598463
  x29  840756
  x30  385930
  x31  323959
  x32  464821
  x33  118434
  x34  620895
  x35  665449
  x36  410759
  x37  639493
  x38  351869
  x39  448917
  x40  877785
  x41  462580
  x42  962486
  x43  856233;
param cap := 11000000;
