data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41;
param:  cost :=
  x0  201
  x1  240
  x2  99
  x3  284
  x4  702
  x5  467
  x6  335
  x7  929
  x8  566
  x9  686
  x10  282
  x11  59
  x12  759
  x13  717
  x14  217
  x15  47
  x16  282
  x17  881
  x18  323
  x19  410
  x20  324
  x21  342
  x22  937
  x23  855
  x24  817
  x25  992
  x26  820
  x27  98
  x28  31
  x29  29
  x30  799
  x31  573
  x32  990
  x33  657
  x34  414
  x35  991
  x36  320
  x37  513
  x38  121
  x39  527
  x40  610
  x41  107;
param cap := 10501;
