data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39;
param:  cost :=
  x0  70
  x1  685
  x2  23
  x3  541
  x4  914
  x5  541
  x6  288
  x7  883
  x8  516
  x9  504
  x10  341
  x11  119
  x12  867
  x13  647
  x14  7
  x15  478
  x16  262
  x17  871
  x18  830
  x19  968
  x20  715
  x21  205
  x22  706
  x23  148
  x24  781
  x25  538
  x26  718
  x27  376
  x28  901
  x29  645
  x30  316
  x31  290
  x32  993
  x33  77
  x34  758
  x35  239
  x36  57
  x37  653
  x38  668
  x39  571;
param cap := 10001;
