data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39;
param:  cost :=
  x0  288
  x1  539
  x2  787
  x3  692
  x4  910
  x5  427
  x6  51
  x7  677
  x8  975
  x9  763
  x10  170
  x11  210
  x12  933
  x13  150
  x14  511
  x15  738
  x16  170
  x17  571
  x18  163
  x19  472
  x20  183
  x21  227
  x22  200
  x23  782
  x24  316
  x25  854
  x26  359
  x27  473
  x28  278
  x29  217
  x30  499
  x31  806
  x32  287
  x33  587
  x34  547
  x35  2
  x36  845
  x37  271
  x38  265
  x39  3;
param cap := 10000;
