data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43 x44 x45;
param:  cost :=
  x0  654
  x1  964
  x2  439
  x3  765
  x4  277
  x5  725
  x6  527
  x7  555
  x8  811
  x9  564
  x10  703
  x11  1
  x12  122
  x13  851
  x14  254
  x15  106
  x16  451
  x17  855
  x18  841
  x19  564
  x20  678
  x21  749
  x22  995
  x23  752
  x24  835
  x25  827
  x26  162
  x27  807
  x28  818
  x29  58
  x30  546
  x31  944
  x32  759
  x33  981
  x34  105
  x35  467
  x36  939
  x37  486
  x38  263
  x39  138
  x40  337
  x41  721
  x42  465
  x43  588
  x44  462
  x45  773;
param cap := 11501;
