data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43 x44 x45 x46 x47 x48 x49;
param:  cost :=
  x0  127350
  x1  876167
  x2  437865
  x3  908275
  x4  934704
  x5  23302
  x6  911308
  x7  427744
  x8  891243
  x9  706420
  x10  573655
  x11  481373
  x12  166713
  x13  498159
  x14  497850
  x15  507557
  x16  354796
  x17  781533
  x18  262357
  x19  145087
  x20  720325
  x21  451425
  x22  876233
  x23  5512
  x24  467804
  x25  94478
  x26  95777
  x27  580540
  x28  661035
  x29  643491
  x30  498862
  x31  363641
  x32  822963
  x33  934540
  x34  725048
  x35  251318
  x36  463674
  x37  874886
  x38  436375
  x39  88937
  x40  88194
  x41  395307
  x42  407570
  x43  474827
  x44  919683
  x45  133685
  x46  39417
  x47  230697
  x48  747724
  x49  625233;
param cap := 12500000;
