data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43;
param:  cost :=
  x0  1980
  x1  1981
  x2  1982
  x3  1983
  x4  1984
  x5  1985
  x6  1986
  x7  1987
  x8  1988
  x9  1989
  x10  1990
  x11  1991
  x12  1992
  x13  1993
  x14  1994
  x15  1995
  x16  1996
  x17  1997
  x18  1998
  x19  1999
  x20  2000
  x21  2001
  x22  2002
  x23  2003
  x24  2004
  x25  2005
  x26  2006
  x27  2007
  x28  2008
  x29  2009
  x30  2010
  x31  2011
  x32  2012
  x33  2013
  x34  2014
  x35  2015
  x36  2016
  x37  2017
  x38  2018
  x39  2019
  x40  2020
  x41  2021
  x42  2022
  x43  2023;
param cap := 43516;
