data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35;
param:  cost :=
  x0  608
  x1  668
  x2  313
  x3  46
  x4  234
  x5  414
  x6  773
  x7  187
  x8  651
  x9  180
  x10  290
  x11  112
  x12  240
  x13  943
  x14  523
  x15  34
  x16  787
  x17  712
  x18  538
  x19  755
  x20  125
  x21  158
  x22  684
  x23  829
  x24  268
  x25  864
  x26  47
  x27  348
  x28  608
  x29  310
  x30  386
  x31  16
  x32  768
  x33  626
  x34  796
  x35  392;
param cap := 9000;
