data;
set WEIGHTS := x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43 x44 x45;
param:  cost :=
  x0  837
  x1  679
  x2  730
  x3  332
  x4  443
  x5  923
  x6  46
  x7  753
  x8  71
  x9  346
  x10  541
  x11  185
  x12  472
  x13  268
  x14  688
  x15  363
  x16  498
  x17  501
  x18  54
  x19  115
  x20  192
  x21  767
  x22  787
  x23  206
  x24  328
  x25  780
  x26  270
  x27  822
  x28  101
  x29  79
  x30  27
  x31  202
  x32  133
  x33  989
  x34  766
  x35  367
  x36  57
  x37  667
  x38  166
  x39  789
  x40  900
  x41  574
  x42  173
  x43  301
  x44  205
  x45  467;
param cap := 11500;
